代码	名称	涨幅%	封单额	涨速%	总金额	量比	换手%	振幅%	现价	买价	卖价	涨跌	总量	现量	今开	最高	最低	昨收	市盈(动)	细分行业	地区	均价	内盘	外盘	内外比	买量	卖量	未匹配量	开盘金额	开盘换手Z	封成比	流通股(亿)	流通市值	AB股总市值	强弱度%	活跃度	笔均量	笔换手	连涨天	昨涨幅%	3日涨幅%	20日涨幅%	60日涨幅%	年初至今%	年涨停天	换手Z	流通市值Z	流通比例Z%	市盈(TTM)	
118004	博瑞转债	0.92	--  	-0.01	856.27	  0.90	          1.66	1.26	111.22	111.13	111.19	1.01	7711	1	110.48	111.49	110.10	110.21	--  	深证		111.05	3877	3834	  1.01	7	1	--  	--  	--  	--  	          0.05	          5.17亿	--  	 -1.49	    913	      8	        0.0018	3	0.15	2.28	-3.97	11.22	11.22	0	--  	--  	--  	--  	
128105	长集转债	0.89	--  	0.00	3304.40	  2.10	          4.07	1.46	101.600	101.600	101.614	0.900	32567	417	100.940	102.200	100.731	100.700	--  	上证		101.465	9849	22719	  0.43	531	2	--  	--  	--  	--  	          0.08	          8.12亿	--  	 -2.80	   1218	     27	        0.0033	2	0.32	0.29	-3.22	-8.39	-9.29	0	--  	--  	--  	--  	
128056	今飞转债	0.89	--  	-0.14	656.39	  0.85	          3.33	1.52	114.820	114.820	114.988	1.008	5730	93	113.812	115.300	113.567	113.812	--  	上证		114.554	2412	3318	  0.73	21	25	--  	--  	--  	--  	          0.02	          1.98亿	--  	 -2.81	    452	     13	        0.0074	3	0.12	1.80	-0.49	-4.16	-5.50	0	--  	--  	--  	--  	
128143	锋龙转债	0.88	--  	-0.18	554.94	  0.93	          2.05	1.14	110.502	110.502	110.708	0.968	5016	52	110.513	111.258	110.009	109.534	--  	上证		110.634	2764	2252	  1.23	3	1	--  	--  	--  	--  	          0.02	          2.70亿	--  	 -2.81	    310	     16	        0.0066	3	0.08	1.00	-3.66	-13.26	-14.09	0	--  	--  	--  	--  	
110043	无锡转债	0.87	--  	0.01	4045.86	  0.94	          1.18	1.51	117.60	117.60	117.66	1.01	34457	15	117.28	118.23	116.47	116.59	--  	深证		117.42	15288	19169	  0.80	324	2	--  	--  	--  	--  	          0.29	         34.35亿	--  	 -1.54	   2159	     16	        0.0005	2	1.36	2.24	1.55	-5.94	-2.41	0	--  	--  	--  	--  	
110047	山鹰转债	0.87	--  	-0.06	2145.29	  1.77	          0.86	1.36	111.89	111.87	111.98	0.96	19257	1	110.69	112.20	110.69	110.93	--  	深证		111.40	9463	9794	  0.97	4	14	--  	--  	--  	--  	          0.22	         25.13亿	--  	 -1.54	   1127	     17	        0.0008	1	-0.52	0.39	-0.96	-6.49	-6.42	0	--  	--  	--  	--  	
123018	溢利转债	0.82	--  	0.00	3927.57	  0.33	         37.16	1.91	195.000	195.000	195.001	1.579	20153	233	193.501	196.999	193.300	193.421	--  	上证		194.888	9885	10268	  0.96	112	51	--  	--  	--  	--  	          0.01	          1.06亿	--  	 -2.88	   1086	     19	        0.0342	1	-1.92	1.93	-6.11	4.00	5.07	0	--  	--  	--  	--  	
123031	晶瑞转债	0.81	--  	-0.35	78282.18	  2.53	        422.64	5.60	341.580	341.560	341.580	2.755	224019	861	348.000	360.000	341.014	338.825	--  	上证		349.444	108274	115746	  0.94	1	50	--  	--  	--  	--  	          0.01	          1.81亿	--  	 -2.88	   3915	     57	        0.1080	1	-1.79	2.26	-9.34	-14.39	-25.42	0	--  	--  	--  	--  	
127030	盛虹转债	0.81	--  	-0.06	5599.74	  0.61	          0.90	2.80	124.000	124.000	124.080	0.999	45100	258	123.001	125.999	122.554	123.001	--  	上证		124.163	18246	26854	  0.68	340	5	--  	--  	--  	--  	          0.50	         61.98亿	--  	 -2.88	   1242	     36	        0.0007	1	-0.90	5.26	-4.98	-20.54	-27.06	0	--  	--  	--  	--  	
113618	美诺转债	0.79	--  	-0.28	337143.68	  0.75	        489.12	3.42	142.42	142.02	142.29	1.11	2334714	112	142.68	146.50	141.67	141.31	--  	深证		144.40	1164575	1170139	  1.00	18	4	--  	--  	--  	--  	          0.05	          6.80亿	--  	 -1.62	   4802	    486	        0.1019	3	2.04	3.22	-36.37	15.32	9.39	0	--  	--  	--  	--  	
